Genre,Artist,Song,Lyric
Metal,Meliah Rage,Wear And Tear,"I wonder can I weather the storm?
Been fighting since the day I was born
I've always had a right to be wrong
I wish I knew that all along

Force of fate can't tear me down
Time &amp; tide won't wear me down
I've had more than my fair share
All this wear &amp; tear

As each day goes flying by
Another chance another try
As soon as this day is done
Another one has begun

Force of fate can't tear me down
Time &amp; tide won't wear me down
I've had more than my fair share
All this wear &amp; tear

When each step could be your last
Don't follow them back into the past
All I need I carry deep inside
Where I stand the future's open wide

Force of fate can't tear me down
Time &amp; tide won't wear me down
I've had more than my fair share
All this wear &amp; tear

"
Metal,Melissa,This Time,"I've seen unlockable doors  
I've felt invisible nods  
And unchangeable gods  

I've been in trouble for laws  
I've heard unsingable birds  
Did you feel just the same ?  

This time  
No shapeless dreams, no sleepless nights  
This time  
This is my world you can't deny  

No more, do you hear me, feel me  
I don't want you anymore  
Feel me, Hate me, Love me, Rape me  
I've never felt like this before  

I've known reliable youth  
I've seen believable truth  
And unmistakable proof  

I've never stood on my knees  
I've never known a silent peace  
Did you feel just the same ?  

This time  
No shapeless dreams, no sleepless nights  
This time  
This is my world you can't deny  

No more, do you hear me, feel me  
I don't want you anymore  
Feel me, Hate me, Love me, Rape me  
I've never felt like this before  

This time  
No shapeless dreams, no sleepless nights  
This time  
This is my world you can't deny

"
Metal,Mekong Delta,Rules Of Corruption,"System of corruption
established by the fear.
Build up out of blindness
of human naivety

Rising of the totalitarianism

First - they will take your mind
fill it up with lies.
Then possess your life
by your unawareness.

Depraved imbued with hate.

Structure of assumption,
allowed by ignorance.
Unreal mind obstruction,
as well passivity.

Parting from the freedom
sold as smart price.

Thoughts - coagulate to ice,
farewell to known life,
dehumanized
the final alteration.

Obey that
what they pray.

Frozen tears now,
we do all know.
Subdued by fear how
behave is right now.

Penetrate the reality
followed by a hazy fear.
They create insanity
all this gets the target near.

"
Metal,Melvins,Chief Ten Beers,"
"
Metal,Acoustic Torment,Indifferent Humanity,"hunger, illness, poverty.
people tormented by misery.
children living on the street.
our help is what they need.
mourners of natural disasters or
victims of terror and war.
suffering people everywhere
but we don't care.

self-interested population
bluntes generation.
no compassion, no sympathy
indifferent humanity.

we think we are poor
but we are wealthy
we feel sick
but we are healthy
we make a problem
of every shit
but we are well
and don't know it.

self-interested population
bluntes generation.
no compassion, no sympathy
indifferent humanity.

don't withhold good
from those who deserve it
god will remember you
and you'll be rewarded.
wake up and realize
your fellow man's indegence.
help if you can and
conquere your indifference.

[proverbs 3:27]
[proverbs 19:17]

"
Metal,Dangers,El Segundo Blue Butterfly Habitat Preserve,"I've seen the jet planes crash
And oil tankers galore.
I've seen Mexicans in boxer shorts
With pacific ocean pompadours.
I've seen gay penguins fuck
And bison roam through golden gates.
Seen dogs die on my welcome mat.
Seen my best friend's girlfriend masturbate.
I've seen half-empty beds
(What good are dreams?)
I've seen friends stuck with mortgages
(What good are dreams?)
(What good are dreams?)
(Good for nothing)
I've seen men make more out of dreams
(What good are dreams?)
(Good for nothing)
Than dreams'll ever make of them.
Clearly, wearily
Life is but a scheme
Where you say there's
Blue butterflies
Where blue butterflies have never been.
Some with Uncle Sam
Me?
My uncle Rick:
All I see is scattergoods
And all I smell is shit.
What good are dreams?
What good are dreams?
What good are dreams?
What good are dreams if they come true?
What good are your dreams?
He says, what good are your dreams
What good are your dreams
If all your dreams come true?




"
Metal,Zao,Breath Of The Black Muse,"Open your mouth boy, just to swallow your teeth, I will not pay the price for your self-inflicted grief, my meekness lies there
shivering and raped, trembling prophet, anointed wrath of God incarnate
Cutting and tearing dissection, strangled and hanging before me, weeping and screaming become you, carry out your suffering
Raise your fist boy to bring upon your demise, never had a clue what waited behind these eyes, your body torn apart, you could not
escape, trembling prophet, anointed wrath of God incarnate
Inspiration from your damnation, your breath blackens my lungs, you marked the line to guide my first incision, breath of the black
muse...

"
Metal,Melancholy Pessimism,Christians Totality,"To me came some fellow

On the chest he had the Christ

He told me - boy go with us

But I told him - No!

And that Christian began threaten

Your childs will have a bitter life

What's about you we don't bury you

after your death


Everything look so

that heaps of corpses

Will be on the dumps

And among they I will be

my wife and our childs


Christians totality!


Carry on my chest the Christ

from that time

But by head down I'm atheist

I want to all know this

And I beg for you

To don't admit new totality!


Totality!

Totality!

"
Metal,Mekong Delta,The Jester,"I'm a member of the motley crew
Pleasing the rich and kings
When I make 'em laugh
Nobody even cares
What's inside my mind
Don't seem to get what I'm looking for
And I can't stand it anymore
Can't you see
Can't you see

Don't drag me down
Don't push me 'round
Don't drag me down
Don't push me 'round

I'm gonna get what I'm yearning for
Break out and play my part no more
That's what I say
That's what I say

I sit and I wait till the big boss's calling me
Now I wish I could hide away
You'll see me smile
But I'm hurt inside
Now I wish I could break away
I can't stand it anymore
Don't wanna play the fool no more
Gotta break away
Gotta break away

When you gaze at me it's like
A look into mirror
And here is what you're bound to see
Someone like you
Leading a kind
Of life that's killing me
I'm gonna get what I'm yearning for
Break out and play my part no more
That's what I say
That's what I say

I'll be just I wanna be
Wanna be - desperately

"
Metal,Melvins,Enchanted Thoughtfist,"I am a product of the television age
Zoom in on what's important
Get the point right away
A modern lack of patience
is it a virtue?
Hardly ever read books
devours easily few 
I say it again
We all believe what we want to believe
Don't just question authority
Question everything 
Felt I had to confess
In Ginsberg's apartment
My literary background's mostly songs and cartoons
He said 'Oh, that's just fine'
I sort of felt relieved
But when I hurl my word bombs
How much should be believed? 
I say it again
We all believe what we want to believe
Don't just question authority
Don't forget to question me!
Oh yeah, that's right
it takes nights
with insight 
The pressure of being taken seriously
breathing down on me
to keep up with my extremes
and keep on planting seeds
joyous sabotage
so far so good
now where do we go from here?
it always feels weird
when people come up to me
and say I changed their lives
I say 'Now it's your turn to start a fire!' Fire!
Start your own fire
Bring the world fire

"
Metal,Meliah Rage,In Hate,"I'd rather twist my mind, rip your world apart
Leave you to wonder, am I hiding in the dark

GIVE MY LIFE AWAY / AGONIZING DEATH
HOPELESSLY PERVERSE DECAY
ADORING BLAME / ENTICING SAINTS
SHROUDED IN FLAMES FOREVER
IN HATE WITH YOU

Every waking moment, I desire hurting you
Insatiable hunger, blood, soul, will of you

GIVE MY LIFE AWAY / AGONIZING DEATH
HOPELESSLY PERVERSE DECAY
ADORING BLAME / ENTICING SAINTS
SHROUDED IN FLAMES FOREVER
IN HATE WITH YOU

Anger bleeds my soul away
All that's left of me embraced
Hollow man, empty, torn
Sweet hopeless blame

Like silence after question
Mad laughter, only friend
What remains after judgment
This anguish never ends



"
Metal,Melechesh,Rebirth Of The Nemesis,"Dynasty of the Salt-Water People
Time is ripe for Uruk's typhoon
The circle is completed, the feeble is stampeded
The storm of shredded glass has proceeded

The howl of the Scaled Deity
Shrill like a whirlwind in a cave
Asserting its return
As a million lost souls tidal wave

Realized is the legend of legions
Headed by the Aqua Demon!
Tribes of the serpent - iron clad
Rebirth of the Nemesis - TIAMAT

Return with wings of liquid fire
From the desolate pre-universe
Ruling a domain much higher
You are the Creator! Are you the Creator?

Enumma Elish is re-written
Fate was never sealed in stone

The Aqua Demon once forgotten
Integration of the celestial (and) terrestrial

Enumma Elish is re-written
Fate was never sealed in stone

Returning with arrogant pride
Linking polarities of conjectures

Proclaimed on the citadels
of the Alpha post

It's all mapped on the hand

Returning with arrogant pride
Linking polarities of conjectures

Return with arrogant pride
The Serpent Nemesis
Queen of creation
Polytheistic light

Lla Tchaf Lla min Tiamat
Enuma Elish is re-written

Queen of the universe

Lla Tchaf Lla (min) Tiamat
Enuma Elish is re-written (repeat)

Don't fear don't, this deity, don't!
Rebirth of the Nemesis has been foretold
Return with wings of liquid fire
Fate was never sealed in stone

"
Metal,Melvins,Revulsion  We Reach,"[Revulsion]

Repelled by just the sight
You take me you feel me coming on
It repells the big strong man
Now you want to take me for everything I am
Gotta word that's coming up coming up my throat.
It's a long ass word, gonna make me choke.
I like to hold my pride
Right in between my hands.
So I can feel it hang.

[We Reach]

I could have hoped for a better piece of your man.
Better times I wrote for glass, less, wind.
From both behinds in back, we're reaching one of each, in time.
Heart like a picture to be.
Hardly, we reach.

"
Metal,Zero Cipher,The Hijack,"Filled with smoke, a room without doors
Turned the lights low, fit for motherfuckers and whores
He says

I gotta little job in mind for you son

This ain't a joke
You move or you're dead
So put all your hands
Up to your motherfuckin' heads

And scream
This is a hijack
Scream
This is the hijack

Says he dictates the breaks
With a red right hand full of paper mistakes
He says

Don't even think about tryin' to escape

So he told the band to play
And took up a seat in front of the stage
All the dancing girls stopped
And stared
'what's he carrying under there?'
He orders a whiskey, lights a cigar
Wipes the thick red blood from his hands like a bath
Until the doorman calls him sir when he walks out the room
The whole place calls him sir, when he walks out the room

"
Metal,Zix,Rising,"Under wings of my resistance
We require no assistance
In the name of united nations
They require annihilation
Plague they spread across the nation
Sets the path of our destination
Raise the flag until damnation
I am rising

In the name of assassinations
Wars of their own creations
Time to join this new sensation
And achieve realization
No escape from illumination
Join this congregation
It's the dawn of a generation
I have risen

[Chorus]
Ride and be free
And then sin along
Ride with the wind
Where you belong
Ride and be free
And then sin along
Maybe one day you'll be free just like me

Behind the hidden doors
Underneath checkered floors
Bow down now and addore
And then shout the battle roar
Prepare for blood and gore
Now starts the final war

[Outro]
Free yourself from the shadows of the night
Open up to the light
Pray that he will not defeat you
Don't bellow your cries in fright
Succumb you will to his power
Summon your deadly cry
Destruct and ravish with pride
Kill and murder with a smile

"
Metal,Zimmer S Hole,Pork Rind Toes,"Pork rind toes, pork rind toes
Dirty, grainy, toenail surprise

Pork rind toes, pork rind toes
Dirty, grainy, toenail surprise

Pork rind toes, pork rind toes
Hot knife lips, 2 litre
Cottage cheese tub hips
Pork rind toes, she's got pork rind toes
Pork rind toes

"
Metal,Zeromancer,Idiot Music,"It's the words you don't say
That keeps ringing in my ear
I feel like an idiot
To think that you really cared
It's the kiss you don't blow
that I keep brushing off my chin
It's the punch you don't throw
That keeps hurting within
I only loved you

Whatever you do
Whatever you say

It's the words you don't scream
That being sucked back in
A dream within a dream
It's not what you've seen
It's what you don't understand
That makes you sharper than
The ones who
Take advantage of you
I only loved you

Sick of this music

Whatever you do
Whatever you say
A cellular goodbye

"
Metal,Zoetrope,Trip Wires,"The damage is done, I've been beat at my own crime
By someone that I never would have expected
While the rich man kept counting his stocks and shares
I made with the cash that they didn't know was there

Trip wires
I thought I would do no wrong
Never assume that you'll beat them all
Trip wires
I thought I would do no wrong
Never assume that you've won

So now that you found me, well how do you feel?
And what is it that you expected to gain
By laying your ass on the line for the rich man
Who couldn't care less if they found you dead?

Trip wires
I thought I would do no wrong
Never assume that you'll beat them all
Trip wires
I thought I would do no wrong
Never assume that you've won

I never thought you'd become the impostor
'Cause you still won't collect a substantial reward
'Cause a pauper can never join ranks with the rich man
'Cause he's rich with the lies that he's fed to the poor

Trip wires
I thought I would do no wrong
Never assume that you'll beat them all
Trip wires
I thought I would do no wrong
Never assume that you've won




"
